,Player,Goals,Apps,Ratio,First,Last,Club(s) (goals/apps)
0,Silvio Piola,274,537,0.51,1929,1954,"Pro Vercelli (51/127), Lazio (143/227), Juventus (10/28), Novara (70/155)"
1,Francesco Totti,250,619,0.4,1992,2017,Roma
2,Gunnar Nordahl,225,291,0.77,1949,1958,"Milan (210/257), Roma (15/34)"
3,Giuseppe Meazza,216,367,0.59,1929,1947,"Internazionale (197/303), Milan (9/37), Juventus (10/27)"
4,José Altafini,216,459,0.47,1958,1976,"Milan (120/204), Napoli (71/179), Juventus (25/73)"
5,Antonio Di Natale,209,445,0.47,2002,2016,"Empoli (18/59), Udinese (191/385)"
6,Roberto Baggio,205,452,0.45,1985,2004,"Fiorentina (39/94), Juventus (78/141), Milan (12/51), Bologna (22/30), Internazionale (9/41), Brescia (45/95)"
8,Kurt Hamrin,190,400,0.48,1956,1971,"Juventus (8/23), Padova (20/30), Fiorentina (150/289), Milan (9/36), Napoli (3/22)"
9,Giuseppe Signori,188,344,0.55,1991,2004,"Foggia (11/32), Lazio (107/152), Sampdoria (3/17), Bologna (67/143)"
10,Alessandro Del Piero,188,478,0.39,1993,2012,Juventus
11,Alberto Gilardino,188,514,0.37,1999,2017,"Piacenza (3/17), Hellas Verona (5/39), Parma (50/96), Milan (36/94), Fiorentina (52/132), Genoa (19/50), Bologna (13/36), Palermo (10/33), Empoli (0/14), Pescara (0/3)"
12,Gabriel Batistuta,183,318,0.58,1991,2003,"Fiorentina (151/243), Roma (30/63), Internazionale (2/12)"
13,Fabio Quagliarella,182,556,0.33,1999,2023,"Sampdoria (102/277), Udinese (25/73), Juventus (23/84), Torino (18/55), Napoli (11/34), Ascoli (3/33)"
14,Giampiero Boniperti,178,443,0.4,1946,1961,Juventus
15,Amedeo Amadei,174,423,0.41,1936,1956,"Roma (85/182), Internazionale (42/70), Napoli (47/171)"
16,Giuseppe Savoldi,168,405,0.41,1965,1980,"Atalanta (17/57), Bologna (96/230), Napoli (55/115)"
17,Guglielmo Gabetto,164,323,0.51,1934,1949,"Juventus (84/165), Torino (80/158)"
18,Roberto Boninsegna,162,363,0.45,1965,1979,"Varese (5/28), Cagliari (23/83), Internazionale (112/195), Juventus (22/57)"
19,Luca Toni,157,344,0.46,2000,2016,"Vicenza (9/31), Brescia (15/44), Palermo (20/35), Fiorentina (55/94), Roma (5/15), Genoa (3/16), Juventus (2/14), Hellas Verona (48/95)"
20,Zlatan Ibrahimović,156,283,0.55,2004,2023,"Juventus (23/70), Internazionale (57/88), Milan (76/125)"
21,Gigi Riva,156,289,0.54,1964,1976,Cagliari
22,Filippo Inzaghi,156,370,0.42,1995,2012,"Parma (2/15), Atalanta (24/33), Juventus (57/119), Milan (73/201)"
23,Roberto Mancini,156,541,0.29,1981,2000,"Bologna (9/30), Sampdoria (132/424), Lazio (15/87)"
24,Luís Vinício,155,347,0.45,1955,1968,"Napoli (69/151), Bologna (17/47), Vicenza (68/141), Internazionale (1/8)"
25,Carlo Reguzzoni,155,401,0.39,1929,1948,"Pro Patria (14/42), Bologna (141/358)"
26,István Nyers,153,237,0.65,1948,1956,"Internazionale (133/183), Roma (20/54)"
27,Hernán Crespo,153,340,0.45,1996,2012,"Parma (72/162), Lazio (39/54), Internazionale (27/80), Milan (10/28), Genoa (5/16)"
28,Adriano Bassetto,149,329,0.45,1946,1958,"Sampdoria (92/196), Atalanta (56/125), Vicenza (1/8)"
29,Omar Sívori,147,279,0.53,1957,1969,"Juventus (125/216), Napoli (12/63)"
30,Christian Vieri,142,264,0.54,1991,2009,"Torino (1/7), Atalanta (11/35), Juventus (8/23), Lazio (12/22), Internazionale (100/142), Milan (1/8), Fiorentina (6/26)"
31,Benito Lorenzi,142,330,0.43,1947,1959,"Internazionale (138/305), Alessandria (4/25)"
32,Marco Di Vaio,142,342,0.42,1994,2012,"Lazio (3/8), Salernitana (12/31), Parma (41/83), Juventus (18/55), Genoa (3/22), Bologna (65/143)"
33,Paolo Pulici,142,401,0.35,1967,1985,"Torino (134/333), Udinese (5/26), Fiorentina (3/39)"
34,Vincenzo Montella,141,288,0.49,1996,2009,"Sampdoria (58/96), Roma (83/192)"
35,John Hansen,139,214,0.65,1948,1955,"Juventus (124/187), Lazio (15/27)"
36,Enrico Chiesa,138,380,0.36,1988,2008,"Sampdoria (24/54), Cremonese (14/34), Parma (33/92), Fiorentina (33/57), Lazio (2/12), Siena (32/129)"
37,Sergio Brighenti,136,311,0.44,1952,1965,"Internazionale (20/40), Triestina (13/54), Padova (50/91), Sampdoria (43/95), Modena (10/30), Torino (0/1)"
38,Roberto Pruzzo,133,331,0.4,1973,1989,"Genoa (27/78), Roma (106/240), Fiorentina (0/13)"
39,Alessandro Altobelli,132,337,0.39,1977,1989,"Internazionale (128/315), Juventus (4/20)"
40,Felice Borel,131,257,0.51,1932,1947,"Juventus (124/231), Torino (7/25), Alessandria (0/1)"
41,Ezio Pascutti,130,295,0.44,1955,1969,Bologna
42,Francesco Graziani,130,352,0.37,1973,1987,"Torino (97/221), Fiorentina (14/52), Roma (12/57), Udinese (7/22)"
43,Roberto Bettega,129,321,0.4,1970,1983,Juventus
44,Gianni Rivera,128,524,0.24,1958,1979,"Alessandria (6/26), Milan (122/498)"
45,Andriy Shevchenko,127,224,0.57,1999,2009,Milan
46,Gonzalo Higuaín,125,224,0.56,2013,2020,"Napoli (71/104), Juventus (48/105), Milan (6/15)"
47,Pietro Ferraris II,124,469,0.26,1929,1950,"Pro Vercelli (20/86), Napoli (13/83), Internazionale (43/139), Torino (28/104), Novara (20/57)"
48,David Trezeguet,123,214,0.57,2000,2010,Juventus
50,Gianluca Vialli,123,325,0.38,1984,1996,"Sampdoria (85/223), Juventus (38/102)"
